,Latitude,Longitude,x,y
0,40.84916900104506,-73.86835600032798,1020670.6686164754,248679.9905504915
1,40.84912800131844,-73.86821300022677,1020710.2535110577,248665.1122994182
2,40.84122300105249,-73.87349900050798,1019251.9864144776,245782.869704324
3,40.84145300067447,-73.8728919997833,1019419.8177717333,245866.91021866343
4,40.84081500075867,-73.87962300013866,1017557.7217583966,245631.83227675545
5,40.840434000875874,-73.88000500027815,1017452.2144234782,245492.87487748734
6,40.84035400111976,-73.87983300021861,1017499.846217976,245463.7932427425
7,40.84063900116436,-73.8795549998336,1017576.6252639001,245567.73496398443
8,40.84107800066419,-73.87939700013239,1017620.1228803059,245727.73890907722
9,40.83732500129732,-73.88804799985908,1015228.192296724,244357.20490474088
10,40.83759900080287,-73.88775499967073,1015309.1402975625,244457.1367914907
11,40.82990300129103,-73.8920200000541,1014132.4356299774,241651.71818974992
12,40.83036900118696,-73.89201499957316,1014133.6101683044,241821.5006585744
13,40.824356000986995,-73.8928969996593,1013892.2054673897,239630.4466417457
14,40.82417700086825,-73.89311400018327,1013832.22724089,239565.15707415668
15,40.82435800046701,-73.89272399968436,1013940.0846367347,239631.23371366417
16,40.82240000099551,-73.89650800005289,1012893.6546429856,238916.6039093341
17,40.822447000685614,-73.89671899954544,1012835.2357965552,238933.65866524773
18,40.82209500126821,-73.89668100059053,1012845.9040823124,238805.42499782893
19,40.81958300055107,-73.90195799960925,1011386.3984711462,237888.5341150864
20,40.81988700097359,-73.90166599969895,1011467.0948320641,237999.38297474955
21,40.816201000889976,-73.90794199971145,1009731.4221223122,236654.55331533225
22,40.81634900118909,-73.90783599990867,1009760.7058563972,236708.5059633256
23,40.816589001345,-73.90789300002874,1009744.8364655686,236795.93000108283
24,40.81687300084191,-73.90737899951296,1009887.0002232358,236899.5511849102
25,40.816247000954746,-73.91779800052478,1007003.2910956456,236668.599218995
26,40.816315000918856,-73.91754299959281,1007073.8513219812,236693.44037665948
27,40.81624200101981,-73.91793400026026,1006965.6484543994,236666.7422673279
28,40.816265000695616,-73.91745600003321,1007097.949698985,236675.2461873368
29,40.82406900082459,-73.93698100017718,1001691.4395146519,239514.0344729843
30,40.820343000629556,-73.9365079998309,1001823.3332797299,238156.61231907085
31,40.82066200082306,-73.93627500051028,1001887.7383346383,238272.8824277408
32,40.81402400066214,-73.94111700020044,1000549.2006573986,235853.48273899333
33,40.81431600078061,-73.94090999997408,1000606.4279051381,235959.9073949116
34,40.80768100084603,-73.94575199990311,999267.6336667223,233541.67404240533
35,40.807995000617474,-73.94552399978897,999330.6804566338,233656.11443032854
36,40.80194500059596,-73.94994299962482,998108.6212209744,231451.15656991923
37,40.802229000880594,-73.9497339996279,998166.4249111431,231554.66095607416
38,40.79849700071488,-73.95267200045232,997353.7575732314,230194.50980499742
39,40.75954200052247,-73.82988499974958,1031377.4703655549,216044.1083158262
40,40.75970600083494,-73.82994300022399,1031361.2863428146,216103.8276845671
41,40.75945100062502,-73.82992700036094,1031365.8991944806,216010.93154490463
42,40.75958700091248,-73.83040800033365,1031232.5503798125,216060.22245683364
43,40.75940400122518,-73.83033299958196,1031253.4571621411,215993.590044163
44,40.754777000898834,-73.84573700003628,1026989.0050611483,214299.9352949948
45,40.754394001173765,-73.84583200008146,1026962.9306382241,214160.3499442347
46,40.75465700078071,-73.846014000518,1026912.3382197313,214256.0803958228
47,40.75476800051026,-73.84559800035487,1027027.5210602293,214296.72401532665
48,40.75161000050445,-73.85606500055066,1024129.5015938121,213141.225670155
49,40.7514230005298,-73.85599600026607,1024148.7312141493,213073.1270530687
50,40.751551000801946,-73.85562800021326,1024250.6148686409,213119.92945292432
51,40.74978700120902,-73.8623889994136,1022378.3810803158,212474.2332377502
52,40.74997300072977,-73.86242500039948,1022368.2997356493,212541.98310223236
53,40.749775001274365,-73.86253700028536,1022337.3808342216,212469.7968949095
54,40.74996400053782,-73.86254600024824,1022334.7791333898,212538.65141599142
55,40.749263000986595,-73.86937600053827,1020442.7533898969,212280.35928166952
56,40.74909500084612,-73.8691200004944,1020513.7762137358,212219.2573697426
57,40.74926600095647,-73.86921999985785,1020485.975744398,212281.5167596596
58,40.7490280012045,-73.86957400050606,1020388.019903553,212194.6596499107
59,40.7492130007807,-73.86969600002895,1020354.116428063,212262.01056507602
60,40.748318000803934,-73.87643200054285,1018488.1933226438,211933.2290704119
61,40.74859000125293,-73.87646099976699,1018480.0184702288,212032.31614257648
62,40.748582000928245,-73.87659099944513,1018444.0024661418,212029.35059732106
63,40.74781200071324,-73.88387600017465,1016425.8572242254,211746.05523215627
64,40.74745300056411,-73.88397300018983,1016399.1535374824,211615.224457071
65,40.747797001025944,-73.88402800010363,1016383.7480564701,211740.5345739189
66,40.746509000982186,-73.89626799980942,1012992.8224236489,211267.0220694893
67,40.74614800114902,-73.89639599982912,1012957.5108144726,211135.45638775066
68,40.745531000834546,-73.90324800020599,1011059.1471571481,210908.4922747579
69,40.74571700080551,-73.9030630001761,1011110.3340626523,210976.3146456664
70,40.74569200063943,-73.90323399968668,1011062.961782067,210967.15390283678
71,40.74393300069892,-73.91300299979955,1008356.6998061406,210323.45505899415
72,40.74406700117441,-73.91308000030901,1008335.3146783123,210372.25450207913
73,40.74445300048593,-73.91128200023064,1008833.3934065556,210513.38578150055
74,40.74459000117725,-73.91129400006578,1008830.0177571479,210563.29611474473
75,40.743064000975544,-73.9186010004369,1006805.7993646404,210005.3598946691
76,40.74321700071532,-73.91856399986699,1006816.0004597317,210061.11207974626
