,Latitude,Longitude
0,40.84916900104506,-73.86835600032798
1,40.84912800131844,-73.86821300022677
2,40.84122300105249,-73.87349900050798
3,40.84145300067447,-73.8728919997833
4,40.84081500075867,-73.87962300013866
5,40.840434000875874,-73.88000500027815
6,40.84035400111976,-73.87983300021861
7,40.84063900116436,-73.8795549998336
8,40.84107800066419,-73.87939700013239
9,40.83732500129732,-73.88804799985908
10,40.83759900080287,-73.88775499967073
11,40.82990300129103,-73.8920200000541
12,40.83036900118696,-73.89201499957316
13,40.824356000986995,-73.8928969996593
14,40.82417700086825,-73.89311400018327
15,40.82435800046701,-73.89272399968436
16,40.82240000099551,-73.89650800005289
17,40.822447000685614,-73.89671899954544
18,40.82209500126821,-73.89668100059053
19,40.81958300055107,-73.90195799960925
20,40.81988700097359,-73.90166599969895
21,40.816201000889976,-73.90794199971145
22,40.81634900118909,-73.90783599990867
23,40.816589001345,-73.90789300002874
24,40.81687300084191,-73.90737899951296
25,40.816247000954746,-73.91779800052478
26,40.816315000918856,-73.91754299959281
27,40.81624200101981,-73.91793400026026
28,40.816265000695616,-73.91745600003321
29,40.82406900082459,-73.93698100017718
30,40.820343000629556,-73.9365079998309
31,40.82066200082306,-73.93627500051028
32,40.81402400066214,-73.94111700020044
33,40.81431600078061,-73.94090999997408
34,40.80768100084603,-73.94575199990311
35,40.807995000617474,-73.94552399978897
36,40.80194500059596,-73.94994299962482
37,40.802229000880594,-73.9497339996279
38,40.79849700071488,-73.95267200045232
39,40.75954200052247,-73.82988499974958
40,40.75970600083494,-73.82994300022399
41,40.75945100062502,-73.82992700036094
42,40.75958700091248,-73.83040800033365
43,40.75940400122518,-73.83033299958196
44,40.754777000898834,-73.84573700003628
45,40.754394001173765,-73.84583200008146
46,40.75465700078071,-73.846014000518
47,40.75476800051026,-73.84559800035487
48,40.75161000050445,-73.85606500055066
49,40.7514230005298,-73.85599600026607
50,40.751551000801946,-73.85562800021326
51,40.74978700120902,-73.8623889994136
52,40.74997300072977,-73.86242500039948
53,40.749775001274365,-73.86253700028536
54,40.74996400053782,-73.86254600024824
55,40.749263000986595,-73.86937600053827
56,40.74909500084612,-73.8691200004944
57,40.74926600095647,-73.86921999985785
58,40.7490280012045,-73.86957400050606
59,40.7492130007807,-73.86969600002895
60,40.748318000803934,-73.87643200054285
61,40.74859000125293,-73.87646099976699
62,40.748582000928245,-73.87659099944513
63,40.74781200071324,-73.88387600017465
64,40.74745300056411,-73.88397300018983
65,40.747797001025944,-73.88402800010363
66,40.746509000982186,-73.89626799980942
67,40.74614800114902,-73.89639599982912
68,40.745531000834546,-73.90324800020599
69,40.74571700080551,-73.9030630001761
70,40.74569200063943,-73.90323399968668
71,40.74393300069892,-73.91300299979955
72,40.74406700117441,-73.91308000030901
73,40.74445300048593,-73.91128200023064
74,40.74459000117725,-73.91129400006578
75,40.743064000975544,-73.9186010004369
76,40.74321700071532,-73.91856399986699
77,40.74310500067605,-73.91884800020249
78,40.743240000765105,-73.91881300055115
79,40.74371000112609,-73.92416100027046
80,40.74388200082643,-73.92411200014045
81,40.74374300100013,-73.92441700024656
82,40.74391100111205,-73.92438500038787
83,40.74456800061942,-73.93157000009163
84,40.744724000461275,-73.93153300052721
85,40.74459400056049,-73.93182900025066
86,40.74476300048575,-73.9317939996055
87,40.7508350011798,-73.9396710002236
88,40.750302000858184,-73.940244999736
89,40.746308001163634,-73.94571300016653
90,40.74613000057653,-73.94534899958121
91,40.74623200075596,-73.94532200035314
92,40.742500001189924,-73.94860899952165
93,40.74240500087813,-73.94810999980871
94,40.742422001095164,-73.9481950003783
95,40.74275900114013,-73.9538929998818
96,40.74280300130392,-73.95395500036102
97,40.753409001192345,-73.98112999996737
98,40.702033000801315,-74.01314899949054
99,40.702033000801315,-74.01314899949054
100,40.701961000593066,-74.01339699956122
101,40.701961000593066,-74.01339699956122
102,40.76209200118288,-73.9663399998183
103,40.76235300051639,-73.96615499958986
